element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Th,2,"=""9032.634""","=""0.011""","=""9032.6178""","=""0.0003""","=""0""","=""""",,"=""2.83107180""","=""4.20332265""","=""6d3""","=""2F""","=""7/2""","=""6d2.(1G).7p""","=""*""","=""7/2""",,"=""""","=""L2372""",
Mn,2,"=""9034.18""","=""0.35""","=""9034.14""","=""0.16""","=""3H""","=""""",,"=""12.2013484""","=""13.573368""","=""3d5.(6S).6s""","=""5S""","=""2""","=""3d4.(b 3F).4s.4p.(3P*)""","=""v 5D*""","=""3""",,"=""""","=""L562""",
Th,1,"=""9034.490""","=""0.008""","=""9034.49772""","=""0.00025""","=""93""","=""""",,"=""2.302958156""","=""3.67492346""","=""6d3.(2P).7s""","=""""","=""1""","=""""","=""*""","=""1""",,"=""""","=""L3552""",
V,1,"=""9034.625""","=""0.004""","=""9034.6287""","=""0.0017""","=""5900""","=""""",,"=""3.27786374""","=""4.64980915""","=""3d4.(5D).4p""","=""y 6D*""","=""3/2""","=""3d3.4s.(5F).5s""","=""e 6F""","=""5/2""",,"=""""","=""L15916""",
Fe,1,"=""9034.679""","=""0.007""","=""9034.6809""","=""0.0018""","=""10""","=""""",,"=""5.31393522""","=""6.68587270""","=""3d6.(3P2).4s.4p.(3P*)""","=""x 5P*""","=""2""","=""3d7.(4F).4d""","=""f 5P""","=""1""",,"=""""","=""L11631""",
Hf,1,"=""9035.660""","=""0.015""","=""9035.683""","=""0.005""","=""10""","=""""",,"=""3.96157941""","=""5.3333648""","=""5d2.(a 3P).6s.(a 4P).6p""","=""z 5P*""","=""1""","=""6p2.(3P).5d.(4D).6s""","=""b 5D""","=""2""",,"=""""","=""L16323""",
Cr,1,"=""9035.8519""","=""0.0008""","=""9035.8523""","=""0.0006""","=""1300""","=""""",,"=""3.07899825""","=""4.45075789""","=""3d5.(4G).4s""","=""a 3G""","=""3""","=""3d4.(5D).4s.4p.(3P*)""","=""z 3F*""","=""2""",,"=""""","=""L14866""",
S,1,"=""9035.92""","=""0.10""","=""9035.88""","=""0.10""","=""6""","=""2.14e+06""",D+,"=""8.0456548""","=""9.417409""","=""3s2.3p3.(4S*).4p""","=""3P""","=""2""","=""3s2.3p3.(4S*).4d""","=""3D*""","=""3""",,"=""T7952""","=""L7444""",
Ar,2,"=""9035.9204""","=""0.0011""","=""9035.9192""","=""0.0005""","=""19""","=""""",,"=""22.78797918""","=""24.15972864""","=""3s2.3p4.(3P).4d""","=""4D""","=""5/2""","=""3s2.3p4.(3P<2>).4f""","=""2[3]*""","=""5/2""",,"=""""","=""L11520""",
Cu,2,"=""9036.147""","=""0.008""","=""9036.132""","=""0.004""","=""600""","=""9.e+05""",D+,"=""16.9960236""","=""18.3677408""","=""3d8.(1G).4s.4p.(3P*)""","=""3H*""","=""5""","=""3d9.(2D<3/2>).5g""","=""2[11/2]""","=""6""",,"=""T9697""","=""L869c171,c169""",
S,1,"=""9036.32""","=""0.10""","=""9036.34""","=""0.10""","=""4""","=""1.62e+06""",D+,"=""8.0452062""","=""9.416891""","=""3s2.3p3.(4S*).4p""","=""3P""","=""1""","=""3s2.3p3.(4S*).4d""","=""3D*""","=""2""",,"=""T7952""","=""L7444""",
S,1,"=""9036.73""","=""0.10""","=""9036.67""","=""0.10""","=""2""","=""9.08e+05""",D,"=""8.0452062""","=""9.416842""","=""3s2.3p3.(4S*).4p""","=""3P""","=""1""","=""3s2.3p3.(4S*).4d""","=""3D*""","=""1""",,"=""T7952""","=""L7444""",
Fe,1,"=""9036.7547""","=""0.0025""","=""9036.7536""","=""0.0012""","=""46""","=""""",,"=""4.98804995""","=""6.35967275""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""2""","=""3d6.(5D).4s (4D).5s""","=""e 3D""","=""3""",,"=""""","=""L11631""",
Ne,1,"=""9036.9985""","=""0.0016""","=""9036.9998""","=""0.0012""","=""9""","=""""",,"=""19.77977193""","=""21.15135738""","=""2s2.2p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""2s2.2p5.(2P*<1/2>).6p""","=""2[3/2]""","=""2""",,"=""""","=""L9097""",
V,1,"=""9037.613""","=""0.003""","=""9037.6131""","=""0.0018""","=""25000""","=""3.3e+05""",C+,"=""1.18338392""","=""2.55487629""","=""3d3.4s2""","=""a 4P""","=""1/2""","=""3d3.(4F).4s.4p.(3P*)""","=""z 4D*""","=""1/2""",,"=""T9627c97""","=""L15916""",
Th,1,"=""9037.89308""","=""0.00021""","=""9037.89336""","=""0.00008""","=""790""","=""""",,"=""2.169869268""","=""3.541319107""","=""5f.6d2.7s""","=""5I*""","=""5""","=""""","=""""","=""4""",,"=""""","=""L18702""",
Tl,1,"=""9038.4""","=""1.0""","=""""","=""""","=""3""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L4830""",
Se,1,"=""9038.61""","=""0.10""","=""""","=""""","=""200""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L2647""",
Th,2,"=""9038.6907""","=""0.0011""","=""9038.69053""","=""0.00025""","=""200""","=""""",,"=""1.642630613""","=""3.01395950""","=""6d3""","=""4F""","=""9/2""","=""5f.(2F*).6d2.(1G)""","=""*""","=""11/2""",,"=""""","=""L5951""",
S,1,"=""9038.72""","=""0.10""","=""9038.65""","=""0.10""","=""3""","=""1.21e+06""",D+,"=""8.0455065""","=""9.416842""","=""3s2.3p3.(4S*).4p""","=""3P""","=""0""","=""3s2.3p3.(4S*).4d""","=""3D*""","=""1""",,"=""T7952""","=""L7444""",
Th,1,"=""9038.935""","=""0.008""","=""9038.94465""","=""0.00012""","=""93""","=""""",,"=""2.549936368""","=""3.92122670""","=""6d2.7s.7p""","=""5D*""","=""4""","=""""","=""""","=""5""",,"=""""","=""L3552""",
Cl,1,"=""9038.982""","=""0.010""","=""""","=""""","=""2000""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
Hg,1,"=""9039.2""","=""0.4""","=""9039.2""","=""0.3""","=""4d""","=""""",,"=""8.8519849""","=""10.22324""","=""5d10.6s.6d""","=""3D""","=""2""","=""5d10.6s.9f""","=""3F*""","=""3""",,"=""""","=""L15167c86""",
S,1,"=""9039.27""","=""0.10""","=""9039.30""","=""0.10""","=""3""","=""5.44e+05""",D,"=""8.0456548""","=""9.416891""","=""3s2.3p3.(4S*).4p""","=""3P""","=""2""","=""3s2.3p3.(4S*).4d""","=""3D*""","=""2""",,"=""T7952""","=""L7444""",
Th,1,"=""9039.277""","=""0.008""","=""9039.28425""","=""0.00020""","=""93""","=""""",,"=""2.777171240""","=""4.14841005""","=""5f.6d2.7s""","=""3I*""","=""5""","=""5f.6d.7s.7p""","=""3H""","=""4""",,"=""""","=""L3552""",
Kr,2,"=""9039.95""","=""0.10""","=""9039.82+""","=""0.12""","=""20HL""","=""""",,"=""20.379549""","=""21.750707""","=""4s2.4p4.(3P).6p""","=""4P*""","=""5/2""","=""4s2.4p4.(3P).6d""","=""4D""","=""5/2""",,"=""""","=""L7386""",
Th,2,"=""9040.1226""","=""0.0007""","=""9040.12266""","=""0.00019""","=""670""","=""""",,"=""0.770374622""","=""2.14148626""","=""6d2.(3F).7s""","=""4F""","=""9/2""","=""5f.6d.(3G*).7s""","=""2G*""","=""9/2""",,"=""""","=""L5951""",
V,1,"=""9040.226""","=""0.006""","=""9040.2168""","=""0.0014""","=""4800*""","=""""",,"=""4.01117857""","=""5.38227593""","=""3d5""","=""4G""","=""5/2""","=""3d4.(5D).5p""","=""q 4D*""","=""5/2""",,"=""""","=""L15916""",
V,1,"=""9040.226""","=""0.006""","=""9040.2209""","=""0.0011""","=""4800*""","=""""",,"=""3.21497771""","=""4.58607445""","=""3d4.(5D).4p""","=""y 4F*""","=""3/2""","=""3d5""","=""e 4F""","=""5/2""",,"=""""","=""L15916""",
Ti,1,"=""9040.703""","=""0.010""","=""9040.700""","=""0.006""","=""2""","=""""",,"=""3.3994023""","=""4.7704264""","=""3d2.(1D).4s.4p.(3P*)""","=""x 3D*""","=""2""","=""3d4""","=""3D""","=""2""",,"=""""","=""L10989""",
W,1,"=""9041.53""","=""0.10""","=""9041.726""","=""0.074""","=""0""","=""""",,"=""2.037223""","=""3.408091""","=""5d4.6s2""","=""3G""","=""4""","=""5d5.(6S).6p""","=""7P*""","=""3""",,"=""""","=""L153""",
Th,1,"=""9041.717""","=""0.008""","=""9041.72046""","=""0.00015""","=""93""","=""""",,"=""2.790642114""","=""4.16151146""","=""6d2.7s.7p""","=""5P*""","=""2""","=""""","=""""","=""3""",,"=""""","=""L3552""",
F,1,"=""9042.10""","=""0.03""","=""9042.09+""","=""0.12""","=""400""","=""2.18e+07""",C+,"=""14.526486""","=""15.897299""","=""2s2.2p4.(3P).3p""","=""4D*""","=""5/2""","=""2s2.2p4.(3P).3d""","=""2F""","=""7/2""",,"=""T7043""","=""L7481""",
Te,1,"=""9043.389""","=""0.004""","=""9043.390""","=""0.006""","=""490""","=""""",,"=""6.7799378""","=""8.1505541""","=""5p3.(2D*).6s""","=""3D*""","=""1""","=""5p3.(2D*).6p""","=""1P""","=""1""",,"=""""","=""L3682""",
Kr,1,"=""9044.47""","=""0.10""","=""9044.45+""","=""0.08""","=""3""","=""""",,"=""11.66602815""","=""13.036483""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""0""","=""4s2.4p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""",,"=""""","=""L6099""",
V,1,"=""9044.785""","=""0.004""","=""9044.7864""","=""0.0020""","=""12000""","=""""",,"=""3.21497771""","=""4.5853824""","=""3d4.(5D).4p""","=""y 4F*""","=""3/2""","=""3d5""","=""e 4F""","=""3/2""",,"=""""","=""L15916""",
Th,1,"=""9045.35254""","=""0.00013""","=""9045.35278""","=""0.00006""","=""1200""","=""""",,"=""1.463377110""","=""2.833695961""","=""6d3.(4P).7s""","=""5P""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L18702""",
Cl,1,"=""9045.43""","=""0.10""","=""""","=""""","=""2500""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
Xe,1,"=""9045.4466""","=""0.0005""","=""9045.448+""","=""0.012""","=""400""","=""1.24e+07""",B+,"=""8.3153161""","=""9.6856205""","=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""2""",,"=""T3269""","=""L7292c110""",
Th,2,"=""9046.321""","=""0.011""","=""9046.2907""","=""0.0006""","=""0""","=""""",,"=""4.35994896""","=""5.73012574""","=""5f.(2F*).6d2.(3F)""","=""2I*""","=""13/2""","=""5f.6d.(3F*).7p""","=""""","=""11/2""",,"=""""","=""L2372""",
V,1,"=""9046.692""","=""0.003""","=""9046.6926""","=""0.0013""","=""33000""","=""1.9e+05""",C+,"=""1.19484056""","=""2.56495646""","=""3d3.4s2""","=""a 4P""","=""3/2""","=""3d3.(4F).4s.4p.(3P*)""","=""z 4D*""","=""3/2""",,"=""T9399""","=""L15916""",
Th,1,"=""9046.7122""","=""0.0016""","=""9046.71223""","=""0.00011""","=""100""","=""""",,"=""2.506331889""","=""3.87644482""","=""6d2.7s.7p""","=""5D*""","=""3""","=""""","=""""","=""3""",,"=""""","=""L5951""",
Ne,1,"=""9046.80""","=""0.10""","=""9046.76""","=""0.10""","=""1*""","=""""",,"=""20.02644523""","=""21.396551""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[1/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).9f""","=""2[5/2]""","=""2""",,"=""""","=""L6099""",
Ne,1,"=""9046.80""","=""0.10""","=""9046.897""","=""0.025""","=""1*""","=""""",,"=""19.77977193""","=""21.149857""","=""2s2.2p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""2s2.2p5.(2P*<1/2>).6p""","=""2[3/2]""","=""1""",,"=""""","=""L6099""",
Th,1,"=""9046.960""","=""0.008""","=""9046.97424""","=""0.00012""","=""140""","=""""",,"=""2.238363337""","=""3.60843659""","=""6d.7s2.7p""","=""3F*""","=""4""","=""6d4""","=""3G""","=""4""",,"=""""","=""L3552""",
Fe,1,"=""9047.767""","=""0.007""","=""9047.7668""","=""0.0012""","=""31""","=""""",,"=""5.08559017""","=""6.45554341""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""2""","=""3d6.(5D).4s (6D).4d""","=""e 5P""","=""2""",,"=""""","=""L11631""",
Fe,2,"=""9047.827""","=""0.002""","=""9047.8250""","=""0.0013""","=""5""","=""5.6e+05""",D+,"=""11.4333753""","=""12.8033198""","=""3d6.(3P1).4p""","=""u 2D*""","=""3/2""","=""3d6.(5D).6s""","=""4D""","=""1/2""",,"=""T6892c83""","=""L18349c139""",
Th,1,"=""9048.24963""","=""0.00005""","=""9048.24963""","=""0.00005""","=""24000""","=""""",,"=""0.7888365657""","=""2.158716703""","=""6d3.(4F).7s""","=""5F""","=""2""","=""6d.7s2.7p""","=""3D*""","=""3""",,"=""""","=""L18702""",
Th,1,"=""9048.5247""","=""0.0004""","=""9048.52457""","=""0.00011""","=""400""","=""""",,"=""1.305125170""","=""2.674963685""","=""5f.6d.7s2""","=""3G*""","=""3""","=""6d3.(2P).7s""","=""""","=""2""",,"=""""","=""L14361""",
Ne,1,"=""9049.086""","=""0.004""","=""9049.0879""","=""0.0012""","=""4""","=""""",,"=""19.68819383""","=""21.05794707""","=""2s2.2p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).6p""","=""2[3/2]""","=""2""",,"=""""","=""L9097""",
Fe,1,"=""9049.349""","=""0.007""","=""9049.3565""","=""0.0018""","=""35""","=""""",,"=""5.35736031""","=""6.72707289""","=""3d6.(3H).4s.4p.(3P*)""","=""y 5G*""","=""2""","=""3d7.(4F).4d""","=""g 5F""","=""2""",,"=""""","=""L11631""",
O,2,"=""9050.25""","=""0.10""","=""9050.26""","=""0.10""","=""4""","=""""",,"=""31.596961""","=""32.966538""","=""2s2.2p2.(3P).4d""","=""4D""","=""1/2""","=""2s2.2p2.(3P).5f D""","=""2[1]*""","=""1/2""",,"=""""","=""L10621""",
W,1,"=""9050.80""","=""0.10""","=""9050.911""","=""0.074""","=""1""","=""""",,"=""3.374084""","=""4.743561""","=""5d5.(2F1).6s""","=""3F""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L153""",
Pb,2,"=""9050.82""","=""0.10""","=""""","=""""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L2579""",
V,1,"=""9050.878""","=""0.003""","=""9050.876""","=""0.003""","=""6200""","=""""",,"=""2.6838140""","=""4.05329662""","=""3d4.(1G2).4s""","=""b 2G""","=""7/2""","=""3d3.(2H).4s.4p.(3P*)""","=""z 4H*""","=""7/2""",,"=""""","=""L15916""",
Hg,1,"=""9051.2""","=""0.4""","=""9051.12""","=""0.04""","=""1""","=""""",,"=""8.8441714""","=""10.213617""","=""5d10.6s.6d""","=""1D""","=""2""","=""5d10.6s.12p""","=""3P*""","=""1""",,"=""""","=""L15167c86""",
Ar,2,"=""9051.229""","=""0.004""","=""9051.2310""","=""0.0008""","=""7""","=""""",,"=""22.81135843""","=""24.18078735""","=""3s2.3p4.(3P).4d""","=""4D""","=""3/2""","=""3s2.3p4.(3P<2>).4f""","=""2[2]*""","=""5/2""",,"=""""","=""L11520""",
Hf,1,"=""9052.350""","=""0.015""","=""9052.344""","=""0.004""","=""100""","=""""",,"=""2.5923189""","=""3.96157941""","=""5d3.(b 4P).6s""","=""a 5P""","=""2""","=""5d2.(a 3P).6s.(a 4P).6p""","=""z 5P*""","=""1""",,"=""""","=""L16323""",
Ne,1,"=""9052.424""","=""0.008""","=""9052.4263""","=""0.0012""","=""3""","=""""",,"=""19.77977193""","=""21.14902003""","=""2s2.2p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""2s2.2p5.(2P*<1/2>).6p""","=""2[1/2]""","=""1""",,"=""""","=""L9097""",
Fe,1,"=""9052.5935""","=""0.0025""","=""9052.5883""","=""0.0018""","=""55""","=""""",,"=""5.33417031""","=""6.70339390""","=""3d6.(3H).4s.4p.(3P*)""","=""y 5G*""","=""4""","=""3d7.(4F).4d""","=""e 3G""","=""4""",,"=""""","=""L11631""",
Ne,1,"=""9052.642""","=""0.002""","=""9052.6435""","=""0.0012""","=""7""","=""""",,"=""19.68819383""","=""21.05740907""","=""2s2.2p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).6p""","=""2[3/2]""","=""1""",,"=""""","=""L9097""",
Ag,2,"=""9052.697""","=""0.018""","=""9052.696""","=""0.018""","=""1400i""","=""4.1e+07""",C,"=""15.51369761""","=""16.882905?""","=""4d9.(2D<3/2>).6s""","=""2[3/2]""","=""1""","=""4d9.(2D<3/2>).6p""","=""2[1/2]*""","=""0""",,"=""T9142""","=""L17886c114""",
Th,3,"=""9053.2553""","=""0.0005""","=""9053.25538""","=""0.00025""","=""1100""","=""""",,"=""1.33173288""","=""2.70085558""","=""5f.6d""","=""3D*""","=""3""","=""5f2""","=""3F""","=""4""",,"=""""","=""L5951""",
Th,2,"=""9053.48512""","=""0.00025""","=""9053.48508""","=""0.00014""","=""620""","=""""",,"=""0.230602975""","=""1.599690941""","=""6d2.(3F).7s""","=""4F""","=""3/2""","=""5f.6d.(3D*).7s""","=""*""","=""3/2""",,"=""""","=""L18702""",
Fe,2,"=""9053.617""","=""0.004""","=""9053.6229""","=""0.0014""","=""2.7""","=""1.2e+05""",D+,"=""11.6335565""","=""13.0026236""","=""3d5.(4D).4s.4p.(3P*)""","=""6D*""","=""5/2""","=""3d6.(5D).5d""","=""4D""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
Th,1,"=""9054.306""","=""0.008""","=""9054.31983""","=""0.00012""","=""93""","=""""",,"=""2.418081613""","=""3.787043357""","=""6d2.7s.7p""","=""5F*""","=""3""","=""""","=""""","=""2""",,"=""""","=""L3552""",
Fe,2,"=""9055.3297""","=""0.0008""","=""9055.3303""","=""0.0007""","=""16""","=""1.0e+06""",D+,"=""11.4345108""","=""12.8033198""","=""3d6.(5D).5p""","=""4P*""","=""3/2""","=""3d6.(5D).6s""","=""4D""","=""1/2""",,"=""T6892c83""","=""L18349c139""",
Th,1,"=""9056.0790""","=""0.0010""","=""9056.07904""","=""0.00009""","=""150""","=""""",,"=""2.332128677""","=""3.700824493""","=""6d2.7s.7p""","=""5G*""","=""4""","=""""","=""""","=""4""",,"=""""","=""L14361""",
Ce,3,"=""9056.53""","=""0.10""","=""""","=""""","=""300""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3518""",
Co,2,"=""9056.962""","=""0.003""","=""9056.965""","=""0.003""","=""28""","=""1.45e+07""",C+,"=""10.55944220""","=""11.9280041""","=""3d7.(4F).5s""","=""e 5F""","=""3""","=""3d7.(4F).5p""","=""5D*""","=""2""",,"=""T6999""","=""L9429c118""",
O,1,"=""9057.01""","=""0.10""","=""9057.019+""","=""0.012""","=""160bl""","=""""",,"=""14.0355624""","=""15.4041162""","=""2s2.2p3.(2D*).3p""","=""1P""","=""1""","=""2s2.2p3.(2D*<5/2>).3d""","=""1S*""","=""0""",,"=""""","=""L3760""",
Hg,1,"=""9057.6""","=""0.4""","=""9056.80""","=""0.04""","=""1""","=""""",,"=""8.8445374""","=""10.213124""","=""5d10.6s.6d""","=""3D""","=""1""","=""5d10.6s.12p""","=""3P*""","=""0""",,"=""""","=""L15167c86""",
Fe,1,"=""9057.6120""","=""0.0009""","=""""","=""""","=""316""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L11631""",
Ne,2,"=""9057.622""","=""0.020""","=""9057.6092""","=""0.0025""","=""100""","=""""",,"=""36.1788195""","=""37.5472841""","=""2s2.2p4.(3P).4p""","=""4D*""","=""3/2""","=""2s2.2p4.(3P).4d""","=""4F""","=""5/2""",,"=""""","=""L1406""",
Fe,1,"=""9057.971""","=""0.007""","=""9057.9714""","=""0.0012""","=""13""","=""""",,"=""3.04686890""","=""4.41527878""","=""3d7.(2G).4s""","=""a 1G""","=""4""","=""3d7.(4F).4p""","=""z 5G*""","=""3""",,"=""""","=""L11631""",
Sr,3,"=""9058.091""","=""0.030""","=""9058.10""","=""0.03""","=""16""","=""""",,"=""34.690107""","=""36.058497""","=""4p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""2""","=""4p5.(2P*<1/2>).4f""","=""2[7/2]""","=""3""",,"=""""","=""L1771""",
Th,1,"=""9058.2572""","=""0.0012""","=""9058.25868""","=""0.00011""","=""110""","=""""",,"=""2.307883790""","=""3.676250265""","=""6d2.7s.7p""","=""5D*""","=""1""","=""""","=""""","=""2""",,"=""""","=""L14361""",
I,1,"=""9058.334""","=""0.002""","=""9058.334""","=""0.006""","=""33000""","=""""",,"=""6.7736857""","=""8.1420408""","=""5s2.5p4.(3P<2>).6s""","=""2[2]""","=""5/2""","=""5s2.5p4.(3P<2>).6p""","=""2[3]*""","=""7/2""",,"=""""","=""L3674""",
Fe,1,"=""9058.760""","=""0.007""","=""9058.7593""","=""0.0012""","=""4170""","=""""",,"=""5.27338780""","=""6.64167865""","=""3d6.(3P2).4s.4p.(3P*)""","=""x 5P*""","=""3""","=""3d7.(4F).4d""","=""f 5P""","=""2""",,"=""""","=""L11631""",
Sn,2,"=""9058.880""","=""0.004""","=""9058.886""","=""0.003""","=""2600*""","=""6.8e+07""",D+,"=""11.0703327""","=""12.4386045""","=""5s2.4f""","=""2F*""","=""7/2""","=""5s2.5g""","=""2G""","=""9/2""",,"=""T9352""","=""L3149""",
Sn,2,"=""9058.880""","=""0.004""","=""9058.886""","=""0.003""","=""2600*""","=""2.4e+06""",D+,"=""11.0703327""","=""12.4386045""","=""5s2.4f""","=""2F*""","=""7/2""","=""5s2.5g""","=""2G""","=""7/2""",,"=""T9352""","=""L3149""",
Th,1,"=""9059.264""","=""0.008""","=""9059.27654""","=""0.00010""","=""140""","=""""",,"=""2.212755599""","=""3.580968332""","=""5f.6d.7s2""","=""3P*""","=""2""","=""""","=""""","=""2""",,"=""""","=""L3552""",
Sc,2,"=""9059.482""","=""0.010""","=""9059.482""","=""0.010""","=""4""","=""""",,"=""8.011334""","=""9.379516""","=""3p6.3d.4d""","=""3P""","=""0""","=""3p6.3d.4f""","=""3D*""","=""1""",,"=""""","=""L5141""",
Cr,1,"=""9059.7699""","=""0.0016""","=""9059.7690""","=""0.0010""","=""32""","=""""",,"=""3.12159404""","=""4.48973240""","=""3d4.4s2""","=""a 3F""","=""4""","=""3d4.(5D).4s.4p.(3P*)""","=""z 3F*""","=""4""",,"=""""","=""L14866""",
Fe,1,"=""9060.0153""","=""0.0009""","=""""","=""""","=""427""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L11631""",
Sc,2,"=""9060.425""","=""0.010""","=""9060.418""","=""0.010""","=""5""","=""""",,"=""8.015169""","=""9.383210""","=""3p6.3d.4d""","=""3P""","=""1""","=""3p6.3d.4f""","=""3D*""","=""2""",,"=""""","=""L5141""",
Ar,2,"=""9060.7463""","=""0.0004""","=""9060.7468""","=""0.0006""","=""50""","=""""",,"=""25.18754647""","=""26.55553718""","=""3s2.3p4.(1D).5p""","=""2F*""","=""5/2""","=""3s2.3p4.(1D).5d""","=""2G""","=""7/2""",,"=""""","=""L11520""",
C,1,"=""9061.4347""","=""0.0005""","=""9061.43478""","=""0.00025""","=""9400000""","=""7.3e+06""",B,"=""7.48277598""","=""8.850662829""","=""2s2.2p.3s""","=""3P*""","=""1""","=""2s2.2p.3p""","=""3P""","=""2""",,"=""T6070n,T4828n,u24""","=""L12175c183""",
Th,1,"=""9061.6832""","=""0.0021""","=""9061.68226""","=""0.00012""","=""59""","=""""",,"=""1.716904709""","=""3.084754205""","=""6d3.(4F).7s""","=""3F""","=""2""","=""""","=""*""","=""1""",,"=""""","=""L5951""",
Fe,2,"=""9062.0022""","=""0.0006""","=""9062.0036""","=""0.0005""","=""23""","=""2.5e+05""",E,"=""12.0893786""","=""13.4571796""","=""3d6.(3P2).5s""","=""4P""","=""5/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4F*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""9062.2396""","=""0.0025""","=""9062.2394""","=""0.0012""","=""186""","=""""",,"=""5.08559017""","=""6.45335558""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""2""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""2""",,"=""""","=""L11631""",
C,1,"=""9062.4723""","=""0.0005""","=""9062.4724""","=""0.0004""","=""7600000""","=""9.5e+06""",B,"=""7.48039414""","=""8.848124381""","=""2s2.2p.3s""","=""3P*""","=""0""","=""2s2.2p.3p""","=""3P""","=""1""",,"=""T6070n,T4828n,u24""","=""L12175c183""",
Th,2,"=""9062.5625""","=""0.0003""","=""9062.56274""","=""0.00015""","=""450""","=""""",,"=""0.509991558""","=""1.877708160""","=""6d.(2D).7s2""","=""""","=""5/2""","=""5f.6d.(3P*).7s""","=""*""","=""3/2""",,"=""""","=""L18702""",
Th,1,"=""9062.879""","=""0.008""","=""9062.90824""","=""0.00015""","=""94""","=""""",,"=""2.506331889""","=""3.87399635""","=""6d2.7s.7p""","=""5D*""","=""3""","=""""","=""""","=""2""",,"=""""","=""L3552""",
Pb,2,"=""9063.43""","=""0.10""","=""""","=""""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L2579""",
Sn,2,"=""9063.658""","=""0.005""","=""9063.649""","=""0.004""","=""2200""","=""6.5e+07""",D+,"=""11.0710518""","=""12.4386045""","=""5s2.4f""","=""2F*""","=""5/2""","=""5s2.5g""","=""2G""","=""7/2""",,"=""T9352""","=""L3149""",
Th,1,"=""9063.95929""","=""0.00008""","=""9063.95942""","=""0.00006""","=""2600""","=""""",,"=""1.022076397""","=""2.389582246""","=""5f.6d.7s2""","=""3F*""","=""2""","=""6d3.(2P).7s""","=""""","=""2""",,"=""""","=""L18702""",
Ne,2,"=""9064.497""","=""0.003""","=""9064.4972""","=""0.0016""","=""160""","=""""",,"=""34.7370230""","=""36.1044477""","=""2s2.2p4.(3P).3d""","=""4F""","=""9/2""","=""2s2.2p4.(3P).4p""","=""4D*""","=""7/2""",,"=""""","=""L5951""",
Fe,1,"=""9064.689""","=""0.007""","=""9064.6880""","=""0.0012""","=""5""","=""""",,"=""4.95563019""","=""6.32302612""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""f 7D""","=""2""",,"=""""","=""L11631""",
